Año,CCAA,PIB_anual,PIB_capita,Renta media por persona (con alquiler imputado),Renta media por unidad de consumo,Renta media por unidad de consumo (con alquiler imputado),Renta neta media por persona,Total_paro,busquedas_running,Income_Group,Unemp_Group,Search_Group
2020,Navarra,19.161,28.987,17.017,22.391,25.077,15.094,11.65,72.0,High,Low,Medium
2020,PaisVasco,66.673,30.115,18.091,23.174,26.34,15.813,9.96,83.0,High,Low,High
2020,Murcia,30.44,20.108,11.616,14.921,17.459,9.85,15.39,100.0,Low,Medium,High
2021,Andalucia,166.296,19.591,11.822,14.769,17.468,9.915,20.31,79.0,Low,High,Medium
2021,Aragon,38.782,29.144,15.284,19.381,22.062,13.345,9.18,85.0,High,Low,High
2021,Asturias,23.618,23.446,15.01,17.968,20.852,12.861,10.1,74.0,Medium,Low,Medium
2021,Canarias,41.407,19.021,11.898,15.294,17.756,10.161,19.23,54.0,Low,High,Low
2021,Cantabria,14.207,24.303,14.829,18.659,21.376,12.848,11.58,69.0,Medium,Medium,Low
2021,CastillaLeon,59.466,25.02,14.694,18.181,20.933,12.656,10.46,76.0,Medium,Medium,Medium
2021,CastillaLaMancha,44.124,21.515,12.038,15.35,17.869,10.257,13.33,82.0,Low,Medium,Medium
2021,Catalunya,234.82,30.36,16.168,20.927,23.729,14.159,10.21,90.0,High,Medium,High
2021,Ceuta,1.634,19.661,12.167,16.159,18.822,10.397,31.17,71.0,Medium,High,Medium
2021,ComunidadValenciana,116.387,22.944,13.246,16.474,19.256,11.237,14.57,88.0,Medium,Medium,High
2021,Madrid,239.838,35.703,16.985,21.99,25.0,14.836,10.18,100.0,High,Low,High
2021,Extremadura,21.552,20.363,11.387,13.908,16.526,9.5,19.33,80.0,Low,High,Medium
2021,Galicia,64.387,23.927,13.465,16.785,19.565,11.453,10.94,68.0,Medium,Medium,Low
2021,Baleares,30.512,25.807,12.962,16.867,19.315,11.235,14.58,75.0,Medium,Medium,Medium
2021,LaRioja,8.736,27.365,14.845,18.758,21.411,12.913,10.53,62.0,Medium,Medium,Low
2021,Melilla,1.534,17.891,13.577,18.259,20.667,12.012,26.51,61.0,Medium,High,Low
2021,Navarra,20.821,31.486,17.247,22.786,25.556,15.269,9.95,71.0,High,Low,Medium
2021,PaisVasco,72.513,32.898,17.943,22.658,25.959,15.544,9.11,84.0,High,Low,Medium
2021,Murcia,33.604,22.087,11.632,14.988,17.414,9.931,13.19,89.0,Low,Medium,High
2022,Andalucia,183.636,21.495,12.746,15.862,18.752,10.703,19.05,83.0,Low,High,Medium
2022,Aragon,43.454,32.562,16.097,20.347,23.208,14.015,9.57,96.0,High,Low,High
2022,Asturias,26.481,26.361,16.076,19.368,22.45,13.777,14.18,77.0,Medium,Medium,Medium
2022,Canarias,48.551,22.096,12.49,15.901,18.385,10.716,14.87,63.0,Low,High,Low
2022,Cantabria,15.54,26.505,15.945,19.974,22.905,13.811,10.53,68.0,Medium,Medium,Low
2022,CastillaLeon,65.121,27.382,15.446,19.117,21.97,13.323,8.9,74.0,Medium,Low,Medium
2022,CastillaLaMancha,49.676,24.005,12.92,16.404,19.056,11.037,14.81,78.0,Low,Medium,Medium
2022,Catalunya,258.686,33.041,16.741,21.637,24.483,14.692,10.32,87.0,High,Medium,High
2022,Ceuta,1.764,21.303,13.905,18.864,21.534,12.152,33.34,73.0,Medium,High,Medium
2022,ComunidadValenciana,127.59,24.736,13.984,17.444,20.357,11.876,13.7,84.0,Medium,Medium,Medium
2022,Madrid,267.579,39.207,17.928,23.338,26.47,15.695,11.33,100.0,High,Medium,High
2022,Extremadura,23.141,21.932,12.092,14.843,17.568,10.133,17.55,86.0,Low,High,Medium
2022,Galicia,71.366,26.483,14.427,18.093,20.951,12.352,10.65,65.0,Medium,Medium,Low
2022,Baleares,37.165,30.997,14.303,18.576,21.197,12.451,10.7,74.0,Medium,Medium,Medium
2022,LaRioja,9.713,30.26,15.653,19.819,22.719,13.538,8.52,69.0,Medium,Low,Low
2022,Melilla,1.654,19.501,14.744,19.849,22.3,13.089,26.15,51.0,Medium,High,Low
2022,Navarra,23.211,34.749,18.053,23.578,26.496,15.97,10.17,71.0,High,Low,Medium
2022,PaisVasco,80.481,36.421,18.899,23.886,27.288,16.427,8.97,88.0,High,Low,High
2022,Murcia,37.493,24.334,12.483,16.128,18.758,10.632,13.01,92.0,Low,Medium,High
2023,Andalucia,199.952,23.218,13.733,17.295,20.114,11.719,17.61,80.0,Low,High,Medium
2023,Aragon,46.674,34.658,16.89,21.43,24.264,14.81,8.17,83.0,High,Low,High
2023,Asturias,28.326,28.13,17.792,21.66,24.814,15.432,11.62,86.0,High,Medium,High
